# Source: https://www.flyertalk.com/forum/united-airlines-mileageplus/2052215-building-ua-city-pair-bis-table-5.html
-----
city1 city2 bis
----- ----- ---
ABE ORD 654
ABQ SFO 896
AMS ORD 4113
ANC ORD 2846
ANC SFO 2018
ATH EWR 4948
ATH IAD 5168
ATL DEN 1198
ATL IAD 534
ATL IAH 689
ATL LAX 1944
ATL ORD 606
ATL SFO 2139
AUS DEN 776
AUS IAD 1294
AUS LAX 1238
AUS SFO 1503
BKK NRT 2887
BOG IAH 2223
BOS DEN 1754
BOS IAH 1597
BOS LAX 2611
BOS ORD 867
BOS SFO 2704
BRU EWR 3670
BRU LIS 1068
BRU ORD 4159
BTV ORD 763
BWI DEN 1490
BWI IAH 1235
BWI LAX 2329
BWI ORD 621
BWI SFO 2454
CAN NRT 1822
CDG IAD 3861
CDG SFO 5584
CLE LAX 2053
CLE SFO 2162
CLT EWR 529
CLT IAH 913
CLT ORD 600
CLT SFO 2293
COS LAX 833
COS SFO 963
CTU SFO 6870
CVG SFO 2036
DCA DEN 1474
DCA IAH 1208
DCA ORD 612
DCA SFO 2442
DEN DFW 642
DEN DSM 589
DEN EWR 1603
DEN HNL 3364
DEN IAD 1452
DEN IAH 862
DEN IND 977
DEN LAS 629
DEN LAX 862
DEN MCI 532
DEN MCO 1546
DEN MIA 1710
DEN MSP 680
DEN MSY 1063
DEN NRT 5788
DEN OAK 956
DEN ORD 888
DEN ORF 1552
DEN PDX 990
DEN SAN 853
DEN SAT 796
DEN SEA 1024
DEN SFO 968
DEN SJC 948
DEN SMF 908
DEN TPA 1507
DEN TYS 1162
DEN YUL 1611
DEN YYC 898
DEN YYZ 1315
DFW EWR 1372
DFW IAD 1171
DFW ORD 802
DFW SFO 1463
DSM ORD 500
DTW SFO 2079
EWR FLL 1065
EWR FRA 3870
EWR GLA 3212
EWR GRU 4757
EWR HNL 4962
EWR IAH 1400
EWR JNB 7990
EWR LAS 2227
EWR LAX 2454
EWR LIM 3631
EWR MAD 3597
EWR MCO 937
EWR MIA 1086
EWR MSP 1008
EWR MXP 4010
EWR NRT 6732
EWR ORD 719
EWR PEK 6832
EWR PVG 7386
EWR SAN 2425
EWR SFO 2566
EWR SLC 1968
EWR TLV 5692
EWR TPA 997
EWR TXL 3968
FLL IAD 901
FLL IAH 966
FLL ORD 1182
FLL SFO 2582
FRA IAD 4081
FRA IAH 5232
FRA IST 1144
FRA LIS 1166
FRA SFO 5691
GEG SFO 734
GRU ORD 5243
GSP ORD 578
GUM HKG 2117
GUM HNL 3801
GUM NRT 1558
GVA LIS 931
HKG LAX 7256
HKG ORD 7787
HKG SFO 6914
HND PEK 1301
HND SFO 5160
HNL IAH 3917
HNL LAX 2556
HNL NRT 3818
HNL SFO 2397
HSV IAH 595
HSV ORD 510
IAD GRU 4736
IAD IAH 1190
IAD JAX 633
IAD LAS 2065
IAD LAX 2288
IAD MCO 758
IAD MIA 921
IAD NRT 6753
IAD ORD 589
IAD PEK 6920
IAD SAN 2253
IAD SAV 517
IAD SFO 2420
IAD SJU 1571
IAD STT 1611
IAH GRU 4902
IAH IND 845
IAH JAX 817
IAH LAS 1222
IAH LAX 1379
IAH LIM 3133
IAH MCO 852
IAH MIA 964
IAH MUC 5417
IAH NRT 6643
IAH ORD 925
IAH SAN 1303
IAH SCL 4646
IAH SEA 1873
IAH SFO 1636
IAH SJO 1552
IAH SMF 1609
IAH TPA 787
IAH TYS 771
IAH YYZ 1280
ICN SFO 5651
IND SFO 1944
IST ORD 5490
JFK LAX 2475
JFK SFO 2587
KIX SFO 5407
KOA LAX 2505
KOA SFO 2370
LAS ORD 1514
LAX LHR 5456
LAX LIH 2615
LAX MCO 2217
LAX MEL 7920
LAX MEX 1555
LAX NRT 5451
LAX OGG 2486
LAX ORD 1745
LAX PVG 6485
LAX SEA 954
LAX YVR 1080
LGA ORD 733
LHR SFO 5367
LIH SFO 2447
LIS ZRH 1073
MCI SFO 1498
MCO ORD 1005
MCO SFO 2444
MEX SFO 1884
MIA ORD 1197
MIA SFO 2585
MSP SFO 1585
MSY SFO 1910
MUC SFO 5871
NRT PEK 1329
NRT SFO 5124
NRT SIN 3328
NRT SPN 1459
NRT TPE 1356
OAK ORD 1834
ORD PEK 6579
ORD PHL 677
ORD PHX 1439
ORD PVG 7056
ORD RDU 647
ORD RIC 643
ORD ROC 528
ORD SAN 1723
ORD SCE 528
ORD SEA 1721
ORD SFO 1847
ORD SJU 2076
ORD SMF 1781
ORD SYR 606
ORD TPA 1014
ORD YQB 880
ORD YUL 747
ORD ZRH 4443
PDX SFO 551
PEK SFO 5914
PHL SFO 2515
PHX SFO 652
PVG SFO 6168
SEA SFO 679
SFO SIN 8445
SFO SLC 598
SFO SYD 7417
SFO TPA 2392
SFO TPE 6455
SFO YUL 2536
SFO YVR 800
SFO YYZ 2260
SLC STL 1155
